text,Pattern Category
 Gemstone softwares ,Not Dark Pattern
Graphic Tanks,Not Dark Pattern
LOW STOCK (ONLY 10 LEFT!),Bait and switch
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Sneaking 
 V-neck Printed Loose Short-sleeved T-shirt ,Not Dark Pattern
Limited Time Only · Online Only,Hidden costs
 Teething Remedies ,Not Dark Pattern
Partnerships,Not Dark Pattern
Accord remotes,Not Dark Pattern
72 Viewing This Product,Sneaking 
Something went wrong. Please try again,Not Dark Pattern
 Coloured Pencils ,Not Dark Pattern
Only 1 left in stock!,Bait and switch
Only 9 units left in stock online.,Bait and switch
Feeding Nightwear,Not Dark Pattern
 Gift Card FAQs ,Not Dark Pattern
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Sneaking 
Ducted Vacuum Cleaners,Not Dark Pattern
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern
"No thank you, I prefer to pay for shipping.",Forced continuity
White Plus Size Clothing,Not Dark Pattern
"No thanks, I don't like exclusive offers",Forced continuity
273 units sold in the last 30 days,Sneaking 
"No thanks, I'll just pay full price.",Forced continuity
"No, I'd rather do it the hard way...",Forced continuity
User interface customization persistent cookies are used to store a user’s preference regarding a service. Please note that these cookies are exempt from consent.,Not Dark Pattern
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",Not Dark Pattern
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Forced continuity
Other 2 customers have it in their cart.,Sneaking 
Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching,Not Dark Pattern
White Camo Windbreaker - Rock N' Roll,Not Dark Pattern
xB Remotes,Not Dark Pattern
 Football Boots ,Not Dark Pattern
Selling fast! Add to bag 7 times in the last 48 hours.,Sneaking 
Only 2 items left,Bait and switch
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Sneaking 
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Sneaking 
Lifestyle / Music,Not Dark Pattern
Only 1 unit left in stock,Bait and switch
LOW IN STOCK!! GET YOURS NOW,Bait and switch
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Sneaking 
High Arches,Not Dark Pattern
Contract free,Not Dark Pattern
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Sneaking 
Your order is prioritized for 13:22 minutes!,Hidden costs
How Do I Rinse Off My Overnight Hair Oil Treatment?,Not Dark Pattern
Black Jewelry,Not Dark Pattern
Cart will expire in 08:19 minutes!,Hidden costs
Time remaining: 04:50,Hidden costs
0:44:56,Hidden costs
 Watches & Accessories ,Not Dark Pattern
"No thanks, I don't like free stuff",Forced continuity
DAYS HRS MINS SECS,Hidden costs
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Hidden costs
Limited time offer.,Hidden costs
3 left,Bait and switch
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Sneaking 
Limited Time Remaining!,Hidden costs
I WANT TO PAY MORE LATER ;),Forced continuity
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Hidden costs
Back by Demand,Not Dark Pattern
"ONLY 5 LEFT, HURRY!",Bait and switch
Functional Cookies,Not Dark Pattern
Flash Sale ends in SHOP NOW  ,Hidden costs
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",Not Dark Pattern
Performance Cookies,Not Dark Pattern
I am very pleased with the service I received.,Not Dark Pattern
7 customers have this in their basket,Sneaking 
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Sneaking 
Hurry! Only 9 left in stock.,Bait and switch
 shop by trend ,Not Dark Pattern
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Hidden costs
Delivery & support,Not Dark Pattern
SHOP TRIATHLON,Not Dark Pattern
The product you requested is not available in the selected country,Not Dark Pattern
"No thanks, I don't like winning",Forced continuity
"You choose: just one box, or a  Madison Reed Membership?",Forced continuity
Baby Cross Stitch & Embroidery Patterns,Not Dark Pattern
HHR remotes,Not Dark Pattern
"No, I Don't Like Discounts",Forced continuity
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Hidden costs
$69.50 For A Limited Time Details,Hidden costs
 Accessibility statement ,Not Dark Pattern
Hurry! Only 1 Left In Stock,Bait and switch
"2,221 people have purchased this item",Sneaking 
"No, thanks. I'd prefer not to save.",Forced continuity
SAVE $200 OFF PUFFY,Hidden costs
 Data Processor Privacy Policy: https://triplelift.com/privacy ,Not Dark Pattern
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Sneaking 
1 item left,Bait and switch
Order without free membership $69.95,Forced continuity
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Not Dark Pattern
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Sneaking 
Only 5 left!,Bait and switch
 Brushes ,Not Dark Pattern
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Sneaking 
 Data Processor Privacy Policy: https://casalemedia.com/ ,Not Dark Pattern
"No thanks, I'll still want to pay full price",Forced continuity
Only 3 Left in Stock!,Bait and switch
Limited time - final price reflects extra 29% off,Hidden costs
Hurry! Only 6 left in stock.,Bait and switch
 We value your privacy We use cookies to improve your website experience. We also use third-party cookies for marketing purposes. Learn more. ,Not Dark Pattern
 Unstitched Fabric ,Not Dark Pattern
 Polar Lights II ,Not Dark Pattern
Shop by Health Goals,Not Dark Pattern
"No thanks, I'm not interested",Forced continuity
Customer also shopped for,Forced continuity
Shop Safely And Securely,Not Dark Pattern
 powered by: Cookie Information ,Not Dark Pattern
Free Shipping & Easy Returns always! ,Not Dark Pattern
Combination,Not Dark Pattern
"No Thanks, I Don't Want To Save",Forced continuity
QUANTITY: *ONLY 1 LEFT,Bait and switch
6 customers have this in their basket,Sneaking 
GCC Compliance,Not Dark Pattern
 Please try again ,Not Dark Pattern
How Do Our Crystals Looks in Real Life?,Not Dark Pattern
"No thanks, I want to pay full price",Forced continuity
commonpandacom@commonpandacom,Not Dark Pattern
"Yes, I Want To Save Money!No Thanks",Forced continuity
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Hidden costs
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",Sneaking 
Only 4 left in this size!,Bait and switch
You might also like,Not Dark Pattern
Shop By Fabric,Not Dark Pattern
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Sneaking 
 View all Ink categories ,Not Dark Pattern
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern
"NO THANKS, I DON’T WANT 15% OFF",Forced continuity
Bike Parts & Components,Not Dark Pattern
🔥👁️ 1 person is viewing this.,Sneaking 
Estimated VAT overview,Not Dark Pattern
" Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator. ",Not Dark Pattern
Hand & Foot Skin Care,Not Dark Pattern
 Best Deals of the Month: April Edition ,Not Dark Pattern
Hurry up! Only 4 left in stock,Bait and switch
Accent Chairs,Not Dark Pattern
"No thanks, I don't like to save",Forced continuity
 Subscribe To Us Subscribe ,Not Dark Pattern
Customers also bought,Forced continuity
407 customers have viewed this item recently,Sneaking 
Only 1 item(s) left in stock,Bait and switch
 Kyanite Beads ,Not Dark Pattern
"No, I don't want great deals.",Forced continuity
I have a strong liking to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good. ,Not Dark Pattern
Holland Cooper,Not Dark Pattern
Recovery Best Sellers,Not Dark Pattern
Viewed 1040 times in the last 7 days,Sneaking 
U.S. Vape Mail Ban FAQs,Not Dark Pattern
異業合作 Cooperation,Not Dark Pattern
6 people have looked at this in the last few hrs.,Sneaking 
Limited-time Offer: Bundle a base and get 20% off,Forced continuity
Sale Womens Clothing,Not Dark Pattern
Why I chose this:,Not Dark Pattern
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Forced continuity
View Alternatives,Not Dark Pattern
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Hidden costs
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Sneaking 
Only 22 left in stock!,Bait and switch
ADD WORLD'S MOST COMFORTABLE CHAIRS,Forced continuity
ONLY 3 LEFT IN STOCK!,Bait and switch
Watch how its done,Not Dark Pattern
 View all Oil & Acrylic Brushes categories ,Not Dark Pattern
Get Personalised Health PlanGet Health Plan,Not Dark Pattern
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Sneaking 
LESS THAN 5 LEFT!,Bait and switch
[new-troh-pick],Not Dark Pattern
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern
Long and Tall,Not Dark Pattern
This offer is only VALID if you add to cart now!,Forced continuity
"Sign up for the latest updates, products and offers",Not Dark Pattern
"Subscribing means you agree to receive our emails, more details please refer to ourprivacy policy.",Not Dark Pattern
 Shop Sale by Print ,Not Dark Pattern
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Hidden costs
Only 9 left,Bait and switch
"Our items sell fast, don't miss out!",Bait and switch
Your order has been reserved for,Hidden costs
Sale ends soon,Hidden costs
only 5 left in stock,Bait and switch
135 people have this in their cart,Sneaking 
The Hoop Destination. Discover more,Not Dark Pattern
Tight Bud,Not Dark Pattern
6 other people looking at this item,Sneaking 
selected language日本語currencyJPY,Not Dark Pattern
Great choice!,Not Dark Pattern
Only 1 items left,Bait and switch
Would you like to purchase an Extended Protection Plan?,Forced continuity
ONLY 14 LEFT AT THIS PRICE,Bait and switch
Not sold separately,Not Dark Pattern
16 recently purchased it.,Sneaking 
Plus Size Ripped Jeans,Not Dark Pattern
 Redirecting to Futech Deals for secure checkout... ,Not Dark Pattern
Football,Not Dark Pattern
 All Men's Brands ,Not Dark Pattern
*Freight/Higher Freight charges may apply to some areas. Click here to view Shipping Policy,Not Dark Pattern
Long Sleeves Nightwear,Not Dark Pattern
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Sneaking 
 Hairy Chest T-Shirt And Shorts Combo ,Not Dark Pattern
Covered all grays,Not Dark Pattern
7 sold in the last 48 hours,Sneaking 
 Menthol Flavors ,Not Dark Pattern
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Sneaking 
FLASH 19:15:22,Hidden costs
"Only available for a LIMITED TIME, so get yours TODAY!",Hidden costs
2 in stock,Bait and switch
Oxfords & Loafers,Not Dark Pattern
Only 9 items left!,Bait and switch
Reloading & Ammunition,Not Dark Pattern
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Sneaking 
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Sneaking 
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Sneaking 
Read More ,Not Dark Pattern
"Ketolent subscriptions have no long term contracts. Pause, cancel, or change at any time. Want to swap Vanilla for Chocolate, or set up to renew every 3 weeks? No problem! Send us an email to help@ketolent.com and we'll make the change for you.",Sneaking 
Selling Fast,Bait and switch
"NO THANKS, I'D RATHER PAY FULL PRICE",Forced continuity
 Stone Cold Steve Austin ,Not Dark Pattern
92 customers bought this in the last 48 hours,Sneaking 
"An item you ordered is in high demand. No worries, we have reserved your order.",Bait and switch
Click and Collect T&C,Not Dark Pattern
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Sneaking 
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Hidden costs
Shirts & Blouses,Not Dark Pattern
Different Types of Gold,Not Dark Pattern
HURRY! ONLY 14 LEFT IN STOCK.,Bait and switch
The best!,Not Dark Pattern
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Bait and switch
 Tracksuit,Not Dark Pattern
Trending Style! Sold 4 times today,Sneaking 
Long African American Wigs,Not Dark Pattern
Only one left in stock - order soon!,Bait and switch
"Hurry, only 1 left in stock!",Bait and switch
Trending now! Added to basket 490 times today,Sneaking 
Almost Famous Jeans,Not Dark Pattern
"No Thanks, I Don't Like Saving Money.",Forced continuity
Professional Color Tool Kit / Addons,Forced continuity
 Tweet Share Pin It Add Email ,Not Dark Pattern
 Tights ,Not Dark Pattern
Only 5 left,Bait and switch
Wireless Microphone,Not Dark Pattern
Only 15 left in stock,Bait and switch
Limited Quantity,Bait and switch
Cap Construction,Not Dark Pattern
 Need Help Finding The Right Product? ,Not Dark Pattern
Body Washes,Not Dark Pattern
ONLY 2 LEFT,Bait and switch
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Sneaking 
LIVE REMAINING STOCK,Bait and switch
Brand: NFL Pro Line by Fanatics Branded,Not Dark Pattern
339 users are currently active on our website,Sneaking 
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Hidden costs
Baby Boy Jumpsuits and Rompers,Not Dark Pattern
"Nah, I'll pay full price",Forced continuity
"Like many websites, we share certain information, such as your IP address, device ID or similar online identifier, with certain third parties, such as social networks and advertising networks. This information is used to personalize advertising you see after you’ve visited our website. The California Consumer Privacy Act (“CCPA”) considers our sharing of that information in this manner to be a “sale.”For more information about the First and Third Party Cookies used please follow this link.",Not Dark Pattern
Choose which store you would like to visit,Not Dark Pattern
"You may cancel or renew your membership to the VIP Program or find out more information about your VIP Program subscription, including your annual expiration date, by contacting support@grove.co.",Sneaking 
"No Thanks, I like paying full price.",Forced continuity
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Sneaking 
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Sneaking 
3 items left,Bait and switch
ONLY 52 items left in stock!,Bait and switch
Cracked Nipples,Not Dark Pattern
Only 2 left in stock,Bait and switch
Fave x GrabPay,Not Dark Pattern
"No thanks, I'll pay full price!",Forced continuity
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",Sneaking 
Only 4 left In Stock,Bait and switch
 Flex Mount ,Not Dark Pattern
"2,229 people have viewed this item",Sneaking 
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Sneaking 
FOR THE ULTIMATE EXPERIENCE: (Can select more than one),Forced continuity
 Related Categories ,Not Dark Pattern
from France,Not Dark Pattern
308 viewed per day,Sneaking 
Mom & Baby,Not Dark Pattern
This is in 5 other carts.,Sneaking 
STOCK IS GUARANTEED FOR 60 MINUTES,Hidden costs
Please add products to see your site in action,Not Dark Pattern
BSA FAC Air Rifles,Not Dark Pattern
Only 2 units left!,Bait and switch
style to command,Not Dark Pattern
Only 5 left in stock,Bait and switch
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Hidden costs
sweatshirts,Not Dark Pattern
On Sale! Limited Time Offer!,Hidden costs
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Sneaking 
 Ladies Flower Print Casual Fashion Dress ,Not Dark Pattern
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Forced continuity
Bath Bombs & Salts,Not Dark Pattern
Wall art,Not Dark Pattern
Bath Decor,Not Dark Pattern
Free Shipping,Not Dark Pattern
Household,Not Dark Pattern
"An item you ordered is in high demand. No worries, we have prioritized your order.",Bait and switch
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,Hidden costs
Keep up with crankbrothers,Not Dark Pattern
Casual Sheath Chiffon Sequins Straps V-neck Sleeveless Bridesmaid Dress,Not Dark Pattern
"No thanks, I don't like savings",Forced continuity
We use cookies to give you the best experience possible. No personal information is stored. Using this website means that you are ok with this cookie policy.,Not Dark Pattern
218 people have added this item to cart,Sneaking 
QUICK! ONLY 1 LEFT IN STOCK,Bait and switch
Only 1 Left !,Bait and switch
" Port, Sherry & Sweet Wine ",Not Dark Pattern
"No thanks, I prefer to pay more for shoes!",Forced continuity
Engine Cooling System,Not Dark Pattern
ONLY 5 LEFT,Bait and switch
How/why the homepage uses cookies,Not Dark Pattern
 mens long sleeve organic shirt ,Not Dark Pattern
These cookies are usually set by our marketing and advertising partners. They may be used by them to build a profile of your interest and later show you relevant ads. If you do not allow these cookies you will not experience targeted ads for your interests.,Not Dark Pattern
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Hidden costs
 EDC-V Megalodon Bottle Opener - Brass (Exclusive),Not Dark Pattern
Availability: Low in stock today,Bait and switch
NO THANKS,Forced continuity
 Motocross Gloves ,Not Dark Pattern
Popular item! 🔥 27 people recently purchased this.,Sneaking 
 All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern
105 pawrents are buying for their furkids now!,Sneaking 
Compare at,Forced continuity
*Only 2 left in stock. Don't miss out!,Bait and switch
 No reviews yet Write a review ,Not Dark Pattern
 Continue with Facebook Continue with Google ,Not Dark Pattern
 TERMS OF SALE ,Not Dark Pattern
"NO THANKS, I DON'T WANT TO SAVE MONEY",Forced continuity
Back Yard & Spa,Not Dark Pattern
Low Stock! Only 3 left.,Bait and switch
 PopGrip Antimicrobial Refine by Product Type: PopGrip Antimicrobial ,Not Dark Pattern
 Customer Support ,Not Dark Pattern
25% OFF SELECTED JACKETS Limited Time,Hidden costs
117 people have viewed this item in the last 7 days.,Sneaking 
41 people have looked at this in the last couple of hours,Sneaking 
Only 1 left in stock! Order soon!,Bait and switch
New Rifles,Not Dark Pattern
Limited Time Promo $194.00,Hidden costs
Nightforce New Year Clearance,Not Dark Pattern
SUPPORT THE AMERICAN SUPRESSOR ASSOCIATION,Sneaking 
Custom Board Quote,Not Dark Pattern
 Charity Collection ,Not Dark Pattern
James from Colonia purchased a,Sneaking 
$132.90 $99.00,Forced continuity
Graphic T-Shirts,Not Dark Pattern
 Landofcoder can power almost ANY marketplace you think of,Not Dark Pattern
I always order from them! Such good quality for the price you pay! Will always be back!,Not Dark Pattern
I have not had my hair so soft and shiny in such a long time and my grey was completely covered! So incredibly happy.,Not Dark Pattern
 Excellent service all round ,Not Dark Pattern
View all,Not Dark Pattern
 韓國香氛 Cosmic Mansion ,Not Dark Pattern
Nighty For Honeymoon,Not Dark Pattern
"HURRY, ONLY 1 LEFT!",Bait and switch
Shop All Vape Kits,Not Dark Pattern
 Shoe Care ,Not Dark Pattern
"No thanks, I don't want to save up to 75%",Forced continuity
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Sneaking 
THE SET INCLUDES:,Not Dark Pattern
 Short,Not Dark Pattern
7 left in stock,Bait and switch
"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year.  ",Sneaking 
Add to Wish List(13 People Have Added),Sneaking 
Womens Plaid Clothing,Not Dark Pattern
Embossing Powder,Not Dark Pattern
"No thanks, I want to pay the full price.",Forced continuity
Only 1 item left!,Bait and switch
"Mounif in Pittsburgh, United States purchased",Sneaking 
Your order is reserved for 09:43 minutes!,Hidden costs
Platinum-Dipped Rose,Not Dark Pattern
5 LEFT,Bait and switch
"No thanks, I prefer to pay full price.",Forced continuity
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Hidden costs
 A-Z Luxury Brands ,Not Dark Pattern
 Fashion Short Sleeve Crew Neck Print Dress ,Not Dark Pattern
We have 1 left in stock,Bait and switch
12 recently purchased it.,Sneaking 
 Wife ,Not Dark Pattern
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",Not Dark Pattern
0 DAYS22 HOURS13 MINUTES21 SECONDS ,Hidden costs
 Articles: Medical Matters ,Not Dark Pattern
"Only 5 left , In Stock",Bait and switch
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Sneaking 
251 people are viewing this right now,Sneaking 
All Girls Clothing,Not Dark Pattern
Join the Team,Not Dark Pattern
Vintage Fancy Red Bracelet Watch Women's,Not Dark Pattern
HURRY ONLY 1 ITEM LEFT!,Bait and switch
What Are Healing Crystals?,Not Dark Pattern
404 Orders,Sneaking 
Carpet Python Vivariums,Not Dark Pattern
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Hidden costs
"Tyler in Norwalk, United States purchased a",Sneaking 
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Sneaking 
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Sneaking 
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Sneaking 
Charleston ,Not Dark Pattern
Power Button Covers,Not Dark Pattern
(Only 1 left!),Bait and switch
Discreet packaging,Not Dark Pattern
"How do I cancel my membership? We are confident you will enjoy your Premium Membership. If for any reason you are not completely satisfied within the first 30 days of your paid Annual Membership, we will refund 100% of your membership fee no questions asked. After 30 days we will refund your membership fee on a pro-rated basis. There are no refunds on Monthly Memberships. To obtain a refund, please contact us at 1-855-253-0822 or by email at wwgoasubscription@program-director.net.",Sneaking 
Last one available,Bait and switch
Mens Footwear,Not Dark Pattern
 Upcoming Events ,Not Dark Pattern
Beetle Remotes,Not Dark Pattern
Free People,Not Dark Pattern
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Sneaking 
ONLY 4 LEFT IN STOCK,Bait and switch
Shop All Golf Balls,Not Dark Pattern
Sunglasses and Eyewear,Not Dark Pattern
 Gut Health ,Not Dark Pattern
"Dog Collars, Leads & Tethers",Not Dark Pattern
 Naked Wolfe ,Not Dark Pattern
How about these?,Forced continuity
Only 14 left in stock,Bait and switch
 Optimized Patch System ,Not Dark Pattern
Product Tagline,Not Dark Pattern
Anniversary Gifts ,Not Dark Pattern
"No, thanks, I´d rather pay more",Forced continuity
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Sneaking 
1 Left,Bait and switch
I don't want a discount,Forced continuity
Healthy Diet,Not Dark Pattern
"No, thanks. I don't like great deals.",Forced continuity
"Someone in Paris, France just purchased a Kanpeki Knife Set",Sneaking 
 WWE New Arrivals ,Not Dark Pattern
"Alpha BRAIN® is a dietary supplement that helps support cognitive functions, including memory, mental speed, and focus.†",Not Dark Pattern
"Someone in Ampang, Malaysia just bought",Sneaking 
"Trey in Columbia, United States purchased Leather Cord Capsule",Sneaking 
"THE COMPETITION $1,299.99",Forced continuity
ONLY 5 LEFT!,Bait and switch
Hurry Low Stock,Bait and switch
Items will be reserved in your cart for 19:10,Hidden costs
1 people are viewing this currently,Sneaking 
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Forced continuity
 SAA Oil & Acrylic Brushes ,Not Dark Pattern
"1 left, order now!",Bait and switch
Vacation One Shoulder Loosen Long Sleeve Woven Dress,Not Dark Pattern
Lip Balms & Treatments,Not Dark Pattern
Price Guaranteed For DAYS/HRS/MINS/SECS,Hidden costs
Other Applications,Not Dark Pattern
"No thanks, I don’t want to save",Forced continuity
High Gable Sheds,Not Dark Pattern
Wondering where to buy White Cloud products in the U.S.? Our distributor list is growing! Bookmark our list and stay tuned!,Not Dark Pattern
 Products ,Not Dark Pattern
Dressmakers Mannequins ,Not Dark Pattern
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,Hidden costs
"No thanks, I will pay full price.",Forced continuity
 Air Purifying Plants ,Not Dark Pattern
All Little Boys Clothing,Not Dark Pattern
 Our Story ,Not Dark Pattern
2 left,Bait and switch
History Of The NRA,Not Dark Pattern
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Hidden costs
Start SellingSearchWishlistAccountCartCart,Not Dark Pattern
61 people have already bought that product today with 50% discount,Sneaking 
89 currently viewing,Sneaking 
Used Leica Cameras,Not Dark Pattern
Purchased 8 times in the last few days.,Sneaking 
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",Sneaking 
View All Bearings,Not Dark Pattern
Low in stock: only 1 left.,Bait and switch
American Diamond Earrings,Not Dark Pattern
 cm in ,Not Dark Pattern
Personalize your doll,Forced continuity
 sales@scandinavianoutdoor.com ,Not Dark Pattern
 Searching...,Not Dark Pattern
Flat Iron,Not Dark Pattern
You can feel confident that your new box each month is helping you celebrate pregnancy and protect your bump!,Not Dark Pattern
Availability: 5 items left,Bait and switch
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Sneaking 
 View product View SAA Standard Membership Renewal - Credit/Debit Card - One Year Only ,Not Dark Pattern
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,Not Dark Pattern
Packed with Super Citrimax,Not Dark Pattern
"No thanks, I don't want to look my best",Forced continuity
"Check your orders, in-store quotes & more",Not Dark Pattern
Thermostats,Not Dark Pattern
"Want more inspiration and styling tips? Dive into The Southern Edit, Southern Tide’s lifestyle blog, and follow us on social media. ",Not Dark Pattern
The Wizard of Oz,Not Dark Pattern
"ONLY 5 LEFT, ORDER SOON!",Bait and switch
Prices shown for delivery to JAPAN Change delivery country,Not Dark Pattern
Barbour International,Not Dark Pattern
70% offers claimed. Hurry up!,Bait and switch
Only 1 Left!,Bait and switch
M-Class Remotes,Not Dark Pattern
"Sorry, this is out of stock. You just missed it.",Bait and switch
Your order is reserved for 19:57 minutes.,Hidden costs
Clearance Optic Accessories Deals,Not Dark Pattern
Hurry! Limited Quantity Available.,Bait and switch
I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,Forced continuity
"Jessica in Orange, United States purchased a Black 1920s Sequin Maxi Flapper Dress 12 minutes ago",Sneaking 
3 Left!,Bait and switch
Highline Double Wheel Bag,Not Dark Pattern
Only 5 Left,Bait and switch
Only 1 left in stock - Order soon,Bait and switch
Only 1 left.,Bait and switch
 Soft Toys ,Not Dark Pattern
"ONCE IT'S GONE, IT'S GONE",Bait and switch
Lease to Own conditions,Not Dark Pattern
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Hidden costs
